Section,ID,Name,Motion(추정),Src_Start(s),Src_End(s),Rel_Start(s),Rel_End(s),Onset_in_file(ms),Frame@60fps,Frame@30fps,Peak(dBFS)
Bolt,B01,Hand_To_Bolt,오른손이 그립→볼트 손잡이로 이동(마찰),2.790,2.960,0.030,0.200,10,2,1,-33.0
Bolt,B02,Bolt_Up,볼트 손잡이 들어올림(잠금 해제),2.960,3.160,0.200,0.400,109,12,6,-1.6
Bolt,B03,Bolt_Back_Eject,볼트 후퇴 + 탄피 배출,3.165,3.420,0.405,0.660,86,24,12,-1.5
Bolt,B04,Bolt_Forward,볼트 전진(급탄),3.440,3.560,0.680,0.800,49,41,20,-6.5
Bolt,B05,Bolt_Down,볼트 손잡이 내림(잠금),3.565,3.745,0.805,0.985,98,48,24,-2.5
Bolt,B06,Hand_Return,손 그립 복귀,3.745,3.880,0.985,1.120,38,59,30,-6.5
Reload_Empty,E01,Hand_To_Bolt,오른손 볼트로 이동,10.950,11.090,0.050,0.190,6,3,1,-30.1
Reload_Empty,E02,Bolt_Up,볼트 손잡이 올림,11.090,11.220,0.190,0.320,89,11,6,-1.5
Reload_Empty,E03,Bolt_Back_Open,"볼트 후퇴 후 개방 유지(빈 약실, 탄피 없음)",11.260,11.545,0.360,0.645,102,22,11,-1.4
Reload_Empty,E04,Hand_Return_Rustle,오른손 그립 복귀 / 총 기울임(마찰),11.760,12.020,0.860,1.120,7,52,26,-28.6
Reload_Empty,E05,Mag_Release,탄창멈치/탄창 잡기,12.240,12.360,1.340,1.460,72,80,40,-11.9
Reload_Empty,E06,Mag_Out,탄창 이탈,12.580,12.860,1.680,1.960,94,101,50,-1.6
Reload_Empty,E07,Mag_Pouch,빈 탄창 처리 / 파우치,13.060,13.240,2.160,2.340,118,130,65,-6.2
Reload_Empty,E08,New_Mag_Pull,새 탄창 인출,13.620,13.820,2.720,2.920,148,163,82,-10.8
Reload_Empty,E09,Mag_Insert_Contact,탄창 삽입 시작(맞물림),14.050,14.300,3.150,3.400,41,189,95,-13.4
Reload_Empty,E10,Mag_Seat,탄창 체결,14.300,14.460,3.400,3.560,53,204,102,-1.2
Reload_Empty,E11,Hand_Leave_Rustle,왼손 복귀 마찰,14.800,14.980,3.900,4.080,15,234,117,-28.8
Reload_Empty,E12,Hand_To_Bolt,오른손 볼트로 이동,15.020,15.270,4.120,4.370,13,247,124,-28.6
Reload_Empty,E13,Bolt_Forward,볼트 전진(첫 탄 급탄),15.270,15.385,4.370,4.485,42,262,131,-4.8
Reload_Empty,E14,Bolt_Down,볼트 손잡이 내림(잠금),15.385,15.640,4.485,4.740,100,269,135,-1.4
Reload_Empty,E15,Hand_Return,손 그립 복귀/안정,15.640,16.060,4.740,5.160,0,284,142,-26.7
Reload_Tactical,T01,Grip_Release,손이 총에서 떨어짐,16.800,16.950,0.020,0.170,57,1,1,-12.8
Reload_Tactical,T02,Hand_Move_Rustle,손 이동 마찰,17.020,17.300,0.240,0.520,47,14,7,-26.1
Reload_Tactical,T03,Mag_Release,탄창멈치/탄창 잡기,17.530,17.670,0.750,0.890,68,45,22,-12.1
Reload_Tactical,T04,Mag_Out,탄창 이탈,17.860,18.140,1.080,1.360,99,65,32,-2.0
Reload_Tactical,T05,Mag_Pouch_New_Mag,탄창 파우치 / 새 탄창 인출,18.310,18.500,1.530,1.720,77,92,46,-16.7
Reload_Tactical,T06,Mag_Bring_Up,새 탄창 가져옴,18.840,19.020,2.060,2.240,91,124,62,-9.3
Reload_Tactical,T07,Mag_Insert_Contact,탄창 삽입 시작,19.340,19.595,2.560,2.815,37,154,77,-13.7
Reload_Tactical,T08,Mag_Seat,탄창 체결,19.595,19.770,2.815,2.990,24,169,84,-1.4
Reload_Tactical,T09,Hand_Return,손 복귀 마찰,19.800,20.260,3.020,3.480,3,181,91,-27.9
