ID,Name,Motion(추정),Src_Start(s),Src_End(s),Rel_Start(s),Rel_End(s),Frame@60fps,Frame@30fps,Peak(dBFS)
R01,Grip_Release,손이 핸드가드에서 떨어짐 / 틸트 시작,8.540,8.680,0.040,0.180,2,1,-22.0
R02,Hand_Move_Rustle,손 이동 마찰(스윽),8.680,8.790,0.180,0.290,11,5,-31.7
R03,Hand_On_Mag,탄창 쪽으로 손 접촉,8.795,8.900,0.295,0.400,18,9,-22.4
R04,Mag_Release_Button,탄창멈치 클릭,9.030,9.150,0.530,0.650,32,16,-14.1
R05,Mag_Out,탄창 이탈,9.150,9.450,0.650,0.950,39,20,-5.5
R06,Hand_To_Pouch_A,마찰 스웰→터치 (빈 탄창 처리/파우치 이동),9.540,9.780,1.040,1.280,62,31,-8.2
R07,Hand_To_Pouch_B,마찰 스웰→히트 (새 탄창 인출),9.850,10.110,1.350,1.610,81,40,-7.9
R08,Mag_Handle_Click,새 탄창 핸들링,10.140,10.300,1.640,1.800,98,49,-16.0
R09,Mag_Bring_Up,탄창 가져옴 / 탭,10.540,10.890,2.040,2.390,122,61,-15.4
R10,Mag_Insert_Contact,탄창 삽입 시작(맞물림),10.920,11.055,2.420,2.555,145,73,-2.5
R11,Mag_Seat,탄창 체결(철컥),11.060,11.230,2.560,2.730,154,77,-1.2
R12,Bolt_Release,노리쇠멈치 해제 / 노리쇠 전진,11.530,11.720,3.030,3.220,182,91,-1.3
R13,Bolt_Settle_Rattle,노리쇠 안착 후 잔향/덜그럭,11.720,11.960,3.220,3.460,193,97,-16.9
R14,Hand_Return_Rustle,손 복귀 마찰(스윽),12.020,12.170,3.520,3.670,211,106,-25.0
R15,Grip_Return,핸드가드 재파지,12.230,12.370,3.730,3.870,224,112,-13.3
R16,Gear_Settle,장비/의복 저역 마찰 (씬 전환 12.85s 직전까지),12.370,12.850,3.870,4.350,232,116,-26.9
