File,Src_Start(s),Src_End(s),Length(s),Note
M4A1_Fire_Single_01,0.314,2.287,1.974,onset 0.322s / amb floor -49.0 dB reached 1.937s. 
M4A1_Fire_Single_02,2.379,3.995,1.616,onset 2.387s / amb floor -48.1 dB reached 3.850s. cut at scene change 4.00s
M4A1_Fire_Auto_Burst21_Full,4.911,8.450,3.539,"21 rds, 75ms interval (~800 RPM). floor -51.0 dB at 8.150s. cue markers per shot"
M4A1_Fire_Auto_LastShot_Tail,6.403,8.450,2.047,last round onset → tail; casing clinks from earlier rounds overlap inside tail
M4A1_Fire_Auto_LoopBody_16rds,5.061,6.261,1.200,"shots 3-18, cut at onsets on zero crossings (reference loop, check seam)"
M4A1_Fire_Suppressed_01_WithCasing,13.314,14.706,1.392,casing hit at 14.074s (+0.750s)
M4A1_Fire_Suppressed_01_NoCasing,13.314,14.053,0.738,faded out before casing impact
M4A1_Casing_01,14.047,14.706,0.659,clean casing drop taken from suppressed shot (usable as overlay/reference)
M4A1_Fire_Suppressed_02_WithCasing,15.080,16.895,1.815,casing hit at 15.840s (+0.748s)
M4A1_Fire_Suppressed_02_NoCasing,15.080,15.812,0.732,faded out before casing impact
M4A1_Casing_02,15.806,16.895,1.089,clean casing drop taken from suppressed shot (usable as overlay/reference)
M4A1_Reload_Empty_FULL,8.500,12.850,4.350,cue markers embedded for each motion
M4A1_Reload_R01_Grip_Release,8.540,8.680,0.140,손이 핸드가드에서 떨어짐 / 틸트 시작
M4A1_Reload_R02_Hand_Move_Rustle,8.680,8.790,0.110,손 이동 마찰(스윽)
M4A1_Reload_R03_Hand_On_Mag,8.795,8.900,0.105,탄창 쪽으로 손 접촉
M4A1_Reload_R04_Mag_Release_Button,9.030,9.150,0.120,탄창멈치 클릭
M4A1_Reload_R05_Mag_Out,9.150,9.450,0.300,탄창 이탈
M4A1_Reload_R06_Hand_To_Pouch_A,9.540,9.780,0.240,마찰 스웰→터치 (빈 탄창 처리/파우치 이동)
M4A1_Reload_R07_Hand_To_Pouch_B,9.850,10.110,0.260,마찰 스웰→히트 (새 탄창 인출)
M4A1_Reload_R08_Mag_Handle_Click,10.140,10.300,0.160,새 탄창 핸들링
M4A1_Reload_R09_Mag_Bring_Up,10.540,10.890,0.350,탄창 가져옴 / 탭
M4A1_Reload_R10_Mag_Insert_Contact,10.920,11.055,0.135,탄창 삽입 시작(맞물림)
M4A1_Reload_R11_Mag_Seat,11.060,11.230,0.170,탄창 체결(철컥)
M4A1_Reload_R12_Bolt_Release,11.530,11.720,0.190,노리쇠멈치 해제 / 노리쇠 전진
M4A1_Reload_R13_Bolt_Settle_Rattle,11.720,11.960,0.240,노리쇠 안착 후 잔향/덜그럭
M4A1_Reload_R14_Hand_Return_Rustle,12.020,12.170,0.150,손 복귀 마찰(스윽)
M4A1_Reload_R15_Grip_Return,12.230,12.370,0.140,핸드가드 재파지
M4A1_Reload_R16_Gear_Settle,12.370,12.850,0.480,장비/의복 저역 마찰 (씬 전환 12.85s 직전까지)
