Section,ID,Name,Motion(추정),Src_Start(s),Src_End(s),Rel_Start(s),Rel_End(s),Onset_in_file(ms),Frame@60fps,Frame@30fps,Peak(dBFS)
Reload_A,C,Chamber_Hand_To_Belt_01,오른손 벨트로 → 탄 집기,13.000,13.330,0.050,0.380,162,3,2,-19.2
Reload_A,C,Chamber_Shell_Into_Port_01,탄을 배출구로 약실에 넣음,13.400,13.700,0.450,0.750,56,27,14,-1.9
Reload_A,C,Chamber_Hand_To_Catch_01,노리쇠 멈치로 손 이동/누름,14.060,14.210,1.110,1.260,116,67,33,-16.3
Reload_A,C,Chamber_Bolt_Release_01,노리쇠 해제 → 전진(쾅),14.210,14.470,1.260,1.520,23,76,38,-1.2
Reload_A,EN,Tube_Enter_01,튜브 장전 자세로 전환(총 뒤집기/장비 달그락),14.660,15.370,1.710,2.420,98,103,51,-19.0
Reload_A,T1,Tube_Grab_01,손이 파우치에서 탄 집기(마찰),15.380,15.620,2.430,2.670,33,146,73,-12.7
Reload_A,T1,Tube_Handle_01,탄을 쥐고 총 아래로 가져옴,15.620,15.860,2.670,2.910,56,160,80,-7.4
Reload_A,T1,Tube_Gate_01,탄이 급탄구(게이트)에 닿음,15.870,15.990,2.920,3.040,39,175,88,-15.5
Reload_A,T1,Tube_Insert_01,탄을 튜브로 밀어 넣음(철컥),15.990,16.090,3.040,3.140,14,182,91,-1.9
Reload_A,T2,Tube_Grab_02,손이 파우치에서 탄 집기(마찰),16.460,16.690,3.510,3.740,137,211,105,-20.4
Reload_A,T2,Tube_Handle_02,탄을 쥐고 총 아래로 가져옴,16.800,16.910,3.850,3.960,28,231,116,-8.9
Reload_A,T2,Tube_Gate_02,탄이 급탄구(게이트)에 닿음,17.020,17.125,4.070,4.175,41,244,122,-15.5
Reload_A,T2,Tube_Insert_02,탄을 튜브로 밀어 넣음(철컥),17.125,17.240,4.175,4.290,31,251,125,-1.9
Reload_A,T3,Tube_Grab_03,손이 파우치에서 탄 집기(마찰),17.620,17.870,4.670,4.920,150,280,140,-20.0
Reload_A,T3,Tube_Handle_03,탄을 쥐고 총 아래로 가져옴,17.980,18.070,5.030,5.120,21,302,151,-9.0
Reload_A,T3,Tube_Gate_03,탄이 급탄구(게이트)에 닿음,18.180,18.310,5.230,5.360,54,314,157,-15.7
Reload_A,T3,Tube_Insert_03,탄을 튜브로 밀어 넣음(철컥),18.310,18.420,5.360,5.470,20,322,161,-1.9
Reload_A,T4,Tube_Grab_04,손이 파우치에서 탄 집기(마찰),18.760,19.050,5.810,6.100,31,349,174,-20.6
Reload_A,T4,Tube_Handle_04,탄을 쥐고 총 아래로 가져옴,19.140,19.250,6.190,6.300,35,371,186,-9.3
Reload_A,T4,Tube_Gate_04,탄이 급탄구(게이트)에 닿음,19.340,19.490,6.390,6.540,67,383,192,-15.6
Reload_A,T4,Tube_Insert_04,탄을 튜브로 밀어 넣음(철컥),19.490,19.600,6.540,6.650,13,392,196,-1.9
Reload_A,EX,Tube_Exit_01,마지막 탄 후 손 포엔드 복귀,19.620,19.880,6.670,6.930,2,400,200,-29.2
Reload_B,C,Chamber_Hand_To_Belt_02,오른손 벨트로 → 탄 집기,23.580,24.030,0.080,0.530,179,5,2,-19.6
Reload_B,C,Chamber_Shell_Into_Port_02,탄을 배출구로 약실에 넣음,24.060,24.400,0.560,0.900,99,34,17,-2.0
Reload_B,C,Chamber_Hand_To_Catch_02,노리쇠 멈치로 손 이동/누름,24.790,24.885,1.290,1.385,47,77,39,-15.4
Reload_B,C,Chamber_Bolt_Release_02,노리쇠 해제 → 전진(쾅),24.885,25.130,1.385,1.630,31,83,42,-1.2
Reload_B,T5,Tube_Grab_05,손이 파우치에서 탄 집기(마찰),25.980,26.350,2.480,2.850,147,149,74,-19.7
Reload_B,T5,Tube_Handle_05,탄을 쥐고 총 아래로 가져옴,26.355,26.530,2.855,3.030,25,171,86,-7.3
Reload_B,T5,Tube_Gate_05,탄이 급탄구(게이트)에 닿음,26.560,26.745,3.060,3.245,118,184,92,-18.9
Reload_B,T5,Tube_Insert_05,탄을 튜브로 밀어 넣음(철컥),26.745,26.850,3.245,3.350,16,195,97,-2.0
Reload_B,T6,Tube_Grab_06,손이 파우치에서 탄 집기(마찰),27.140,27.470,3.640,3.970,139,218,109,-20.7
Reload_B,T6,Tube_Handle_06,탄을 쥐고 총 아래로 가져옴,27.490,27.610,3.990,4.110,42,239,120,-9.2
Reload_B,T6,Tube_Gate_06,탄이 급탄구(게이트)에 닿음,27.700,27.855,4.200,4.355,65,252,126,-15.4
Reload_B,T6,Tube_Insert_06,탄을 튜브로 밀어 넣음(철컥),27.855,27.960,4.355,4.460,5,261,131,-1.9
Reload_B,EX,Tube_Exit_02,마지막 탄 후 손 포엔드 복귀,27.960,28.230,4.460,4.730,25,268,134,-26.7
