Section,ID,Name,Motion(추정),Src_Start(s),Src_End(s),Rel_Start(s),Rel_End(s),Onset_in_file(ms),Frame@60fps,Frame@30fps,Peak(dBFS)
Bolt,B01,Hand_To_Bolt,오른손 그립→볼트 손잡이,9.475,9.615,0.020,0.160,3,1,1,-34.9
Bolt,B02,Bolt_Up,손잡이 들어올림(잠금 해제),9.615,9.815,0.160,0.360,47,10,5,-2.0
Bolt,B03,Bolt_Back_Eject,볼트 후퇴 + 탄피 배출,9.815,10.100,0.360,0.645,130,22,11,-1.7
Bolt,B04,Bolt_Forward,볼트 전진(급탄),10.100,10.250,0.645,0.795,71,39,19,-2.0
Bolt,B05,Bolt_Down,손잡이 내림(잠금),10.250,10.395,0.795,0.940,5,48,24,-1.5
Bolt,B06,Hand_Return,손 그립 복귀 (탄피 착지 10.72s 직전에서 자름),10.495,10.700,1.040,1.245,58,62,31,-30.4
Reload_Empty,E01,Hand_To_Bolt,오른손 볼트로 이동,23.740,23.850,0.040,0.150,22,2,1,-29.1
Reload_Empty,E02,Bolt_Up,손잡이 올림,23.850,24.040,0.150,0.340,35,9,5,-2.1
Reload_Empty,E03,Bolt_Back_Open,"볼트 후퇴 후 개방 유지(빈 약실, 탄피 없음)",24.040,24.380,0.340,0.680,127,20,10,-1.8
Reload_Empty,E04,Hand_Move_Rustle,손 이동/총 기울임 마찰,24.480,24.700,0.780,1.000,7,47,23,-28.9
Reload_Empty,E05,Mag_Release,탄창멈치/탄창 잡기,24.920,25.030,1.220,1.330,70,73,37,-13.1
Reload_Empty,E06,Mag_Out,탄창 이탈,25.030,25.300,1.330,1.600,33,80,40,-2.0
Reload_Empty,E07,Mag_Pouch,빈 탄창 처리 / 파우치,25.900,26.080,2.200,2.380,90,132,66,-11.9
Reload_Empty,E08,New_Mag_Pull,새 탄창 인출,26.400,26.620,2.700,2.920,76,162,81,-12.3
Reload_Empty,E09,Mag_Insert_Contact,탄창 삽입 시작(맞물림),27.020,27.235,3.320,3.535,48,199,100,-6.6
Reload_Empty,E10,Mag_Seat,탄창 체결,27.235,27.450,3.535,3.750,30,212,106,-2.0
Reload_Empty,E11,Hand_To_Bolt,오른손 볼트로 이동(마찰),27.820,28.070,4.120,4.370,33,247,124,-29.2
Reload_Empty,E12,Bolt_Forward,볼트 전진(첫 탄 급탄),28.070,28.250,4.370,4.550,100,262,131,-2.0
Reload_Empty,E13,Bolt_Down,손잡이 내림(잠금),28.250,28.420,4.550,4.720,16,273,137,-1.5
Reload_Empty,E14,Hand_Return,손 그립 복귀,28.540,28.760,4.840,5.060,6,290,145,-28.6
Reload_Tactical,T01,Hand_Move,손 이동(마찰),29.240,29.380,0.040,0.180,17,2,1,-32.1
Reload_Tactical,T02,Mag_Release,탄창멈치/탄창 잡기,29.570,29.685,0.370,0.485,33,22,11,-15.0
Reload_Tactical,T03,Mag_Out,탄창 이탈,29.685,29.920,0.485,0.720,21,29,15,-2.0
Reload_Tactical,T04,Mag_Pouch,탄창 파우치,30.540,30.680,1.340,1.480,48,80,40,-27.5
Reload_Tactical,T05,New_Mag_Pull,새 탄창 인출,30.800,31.000,1.600,1.800,42,96,48,-10.5
Reload_Tactical,T06,Mag_Bring_Up,새 탄창 가져옴,31.040,31.220,1.840,2.020,114,110,55,-6.9
Reload_Tactical,T07,Mag_Insert_Contact,탄창 삽입 시작,31.640,31.860,2.440,2.660,50,146,73,-6.3
Reload_Tactical,T08,Mag_Seat,탄창 체결,31.860,32.060,2.660,2.860,27,160,80,-1.9
Reload_Tactical,T09,Hand_Return,손 복귀 마찰,32.080,32.680,2.880,3.480,39,173,86,-27.7
